paintId,Name,Brand,hexColorCode,matchValue
0,SunsetRed," Vallejo-Model"," #c22c5f",
1,BrownRose," Vallejo-Model"," #cf8774",
2,BeigeRed," Vallejo-Model"," #c79166",
3,GermanOrange," Vallejo-Model"," #f05426",
4,GermanYellow," Vallejo-Model"," #e8e589",
5,OxfordBlue," Vallejo-Model"," #3a465f",
6,BlueGreen," Vallejo-Model"," #1a9496",
7,RoyalBlue," Vallejo-Model"," #41558d",
8,RoyalPurple," Vallejo-Model"," #4b2967",
9,BlueViolet," Vallejo-Model"," #795c9a",
10,VioletRed," Vallejo-Model"," #6b2946",
11,BurntCadmiumRed," Vallejo-Model"," #623535",
12,BasicSkintone," Vallejo-Model"," #fbbc8c",
13,LuftwaffeUniformWW2," Vallejo-Model"," #3d474f",
14,Scarlet," Vallejo-Model"," #da3630",
15,RedLeather," Vallejo-Model"," #93453d",
16,IraqiSand," Vallejo-Model"," #b89972",
17,Offwhite," Vallejo-Model"," #efeee2",
18,GermanCam.BeigeWW2," Vallejo-Model"," #9c8d70",
19,GermanCam.BlackBrown," Vallejo-Model"," #5b3528",
20,LuftwaffeCam.Green," Vallejo-Model"," #596b3f",
21,GermanCam.BlackBrown," Vallejo-Model"," #553528",
22,GermanCam.OrangeOchre," Vallejo-Model"," #9d7e55",
23,GermanCam.PaleBrown," Vallejo-Model"," #82685e",
24,GermanCam.MediumBrown," Vallejo-Model"," #722b2f",
25,LimeGreen," Vallejo-Model"," #6fae4e",
26,AmaranthRed," Vallejo-Model"," #cc4338",
27,GermanFieldGreyWW2," Vallejo-Model"," #595748",
28,GermanCam.BrightGreen," Vallejo-Model"," #528944",
29,SalmonRose," Vallejo-Model"," #f89d87",
30,LondonGrey," Vallejo-Model"," #4a555e",
31,PaleSand," Vallejo-Model"," #d1c49c",
32,Emerald," Vallejo-Model"," #00906a",
33,Ultramarine," Vallejo-Model"," #3b5da7",
34,LightTurquoise," Vallejo-Model"," #0094a5",
35,AndreaBlue," Vallejo-Model"," #008dc9",
36,CorkBrown," Vallejo-Model"," #a57b63",
37,DeepSkyBlue," Vallejo-Model"," #00a6da",
38,SunnySkintone," Vallejo-Model"," #f4b171",
39,MahoganyBrown," Vallejo-Model"," #804b47",
40,DarkSand," Vallejo-Model"," #d6b779",
41,MediumOlive," Vallejo-Model"," #226b2e",
42,BrightOrange," Vallejo-Model"," #f26833",
