SunsetRed, Vallejo-Model, #c22c5f,
BrownRose, Vallejo-Model, #cf8774,
BeigeRed, Vallejo-Model, #c79166,
GermanOrange, Vallejo-Model, #f05426,
GermanYellow, Vallejo-Model, #e8e589,
OxfordBlue, Vallejo-Model, #3a465f,
BlueGreen, Vallejo-Model, #1a9496,
RoyalBlue, Vallejo-Model, #41558d,
RoyalPurple, Vallejo-Model, #4b2967,
BlueViolet, Vallejo-Model, #795c9a,
VioletRed, Vallejo-Model, #6b2946,
BurntCadmiumRed, Vallejo-Model, #623535,
BasicSkintone, Vallejo-Model, #fbbc8c,
LuftwaffeUniformWW2, Vallejo-Model, #3d474f,
Scarlet, Vallejo-Model, #da3630,
RedLeather, Vallejo-Model, #93453d,
IraqiSand, Vallejo-Model, #b89972,
Offwhite, Vallejo-Model, #efeee2,
GermanCam.BeigeWW2, Vallejo-Model, #9c8d70,
GermanCam.BlackBrown, Vallejo-Model, #5b3528,
LuftwaffeCam.Green, Vallejo-Model, #596b3f,
GermanCam.BlackBrown, Vallejo-Model, #553528,
GermanCam.OrangeOchre, Vallejo-Model, #9d7e55,
GermanCam.PaleBrown, Vallejo-Model, #82685e,
GermanCam.MediumBrown, Vallejo-Model, #722b2f,
LimeGreen, Vallejo-Model, #6fae4e,
AmaranthRed, Vallejo-Model, #cc4338,
GermanFieldGreyWW2, Vallejo-Model, #595748,
GermanCam.BrightGreen, Vallejo-Model, #528944,
SalmonRose, Vallejo-Model, #f89d87,
LondonGrey, Vallejo-Model, #4a555e,
PaleSand, Vallejo-Model, #d1c49c,
Emerald, Vallejo-Model, #00906a,
Ultramarine, Vallejo-Model, #3b5da7,
LightTurquoise, Vallejo-Model, #0094a5,
AndreaBlue, Vallejo-Model, #008dc9,
CorkBrown, Vallejo-Model, #a57b63,
DeepSkyBlue, Vallejo-Model, #00a6da,
SunnySkintone, Vallejo-Model, #f4b171,
MahoganyBrown, Vallejo-Model, #804b47,
DarkSand, Vallejo-Model, #d6b779,
MediumOlive, Vallejo-Model, #226b2e,
BrightOrange, Vallejo-Model, #f26833,
OchreBrown, Vallejo-Model, #a77237,
GoldenOlive, Vallejo-Model, #78923b,
IceYellow, Vallejo-Model, #feef87,
BlackRed[CadmiumBrown], Vallejo-Model, #5f2e39,
MediumFleshtone, Vallejo-Model, #c08245,
GlossyBlack, Vallejo-Model, #010101,
BlackGrey, Vallejo-Model, #2d373a,
GreyGreen, Vallejo-Model, #565a60,
DarkBlueGrey, Vallejo-Model, #4b5751,
DarkSeaGreen, Vallejo-Model, #2f4844,
BasaltGrey, Vallejo-Model, #576860,
MediumSeaGrey, Vallejo-Model, #869393,
LeatherBrown, Vallejo-Model, #4a4639,
ChocolateBrown, Vallejo-Model, #5f5047,
USFieldDrab, Vallejo-Model, #705d43,
TanEarth, Vallejo-Model, #9c7962,
BeigeBrown, Vallejo-Model, #78584a,
BrownSand, Vallejo-Model, #b08064,
GoldBrown, Vallejo-Model, #ba8636,
GreenBrown, Vallejo-Model, #8d7b55,
KhakiGrey, Vallejo-Model, #8b7f5d,
YellowGreen, Vallejo-Model, #91864b,
Middlestone, Vallejo-Model, #9c9660,
SilverGrey, Vallejo-Model, #d8dfd5,
StoneGrey, Vallejo-Model, #959980,
PastelGreen, Vallejo-Model, #a4bb99,
GreenGrey, Vallejo-Model, #827e61,
BrownViolet, Vallejo-Model, #4e5d4d,
OliveGrey, Vallejo-Model, #39584f,
USAOliveDrab, Vallejo-Model, #3b4947,
ReflectiveGreen, Vallejo-Model, #496244,
IntermediateGreen, Vallejo-Model, #49944f,
YellowOlive, Vallejo-Model, #26392e,
USDarkGreen, Vallejo-Model, #5b6955,
Cam.OliveGreen, Vallejo-Model, #3c5549,
GunshipGreen, Vallejo-Model, #3d685e,
GermanCam.ExtraDarkGreen, Vallejo-Model, #30504a,
BronceGreen, Vallejo-Model, #2a534f,
DarkSeaBlue, Vallejo-Model, #2a4048,
DarkPrussianBlue, Vallejo-Model, #192c43,
FrenchMirageBlue, Vallejo-Model, #557880,
PastelBlue, Vallejo-Model, #67859b,
Azure, Vallejo-Model, #717cad,
IntermediateBlue, Vallejo-Model, #607a80,
DarkBlueGrey, Vallejo-Model, #5c7476,
BlueGreyPale, Vallejo-Model, #9ea7a5,
PaleBlue, Vallejo-Model, #83b5b2,
PaleGreyBlue, Vallejo-Model, #bacdd0,
CarmineRed, Vallejo-Model, #b73035,
Vermillion, Vallejo-Model, #d22b2d,
OrangeRed, Vallejo-Model, #e34c26,
LightOrange, Vallejo-Model, #f68627,
TanYellow, Vallejo-Model, #b5915d,
YellowOchre, Vallejo-Model, #c19448,
GreenOchre, Vallejo-Model, #a98969,
DeepYellow, Vallejo-Model, #ffe30c,
SandYellow, Vallejo-Model, #d7bf75,
Beige, Vallejo-Model, #dbc58e,
Ivory, Vallejo-Model, #eff1d9,
GermanUniform, Vallejo-Model, #286254,
EnglishUniform, Vallejo-Model, #715833,
UniformGreen, Vallejo-Model, #577a38,
JapanUniformWW2, Vallejo-Model, #998546,
RussianUniformWW2, Vallejo-Model, #606d53,
Blue, Vallejo-Model, #043667,
Red, Vallejo-Model, #91323a,
DarkFlesh, Vallejo-Model, #d9a262,
LightFlesh, Vallejo-Model, #feedd0,
LightBrown, Vallejo-Model, #bf764e,
DarkBlue, Vallejo-Model, #0d5a86,
SaddleBrown, Vallejo-Model, #89584f,
BurntUmber, Vallejo-Model, #665148,
LightGreen, Vallejo-Model, #00a850,
GreyBlue, Vallejo-Model, #45708d,
OldRose, Vallejo-Model, #d47b7d,
Magenta, Vallejo-Model, #a92a56,
DarkRed, Vallejo-Model, #a24a46,
DarkSand, Vallejo-Model, #d1b47e,
GoldenYellow, Vallejo-Model, #f7c65e,
LightYellow, Vallejo-Model, #f7ea62,
Black, Vallejo-Model, #252b31,
White, Vallejo-Model, #ffffff,
LemonYellow, Vallejo-Model, #fef10e,
FlatYellow, Vallejo-Model, #ffcd25,
YellowGreen, Vallejo-Model, #d9e02a,
FlatFlesh, Vallejo-Model, #d8a977,
ClearOrange, Vallejo-Model, #f1552c,
FlatRed, Vallejo-Model, #aa3037,
Pink, Vallejo-Model, #d37497,
Purple, Vallejo-Model, #834a6c,
Violet, Vallejo-Model, #4b2f65,
SkyBlue, Vallejo-Model, #86d6f7,
FlatBlue, Vallejo-Model, #336991,
MediumBlue, Vallejo-Model, #066588,
FieldBlue, Vallejo-Model, #436872,
PrussianBlue, Vallejo-Model, #2a546e,
Turquoise, Vallejo-Model, #008e9c,
OliveGreen, Vallejo-Model, #6a8b3a,
FlatGreen, Vallejo-Model, #2a6531,
ParkGreenFlat, Vallejo-Model, #008c5d,
DeepGreen, Vallejo-Model, #0a6b48,
GreyGrey, Vallejo-Model, #aecbbb,
LightGreenBlue, Vallejo-Model, #6d9a95,
LightSeaGrey, Vallejo-Model, #97b4b5,
GreenSky, Vallejo-Model, #59ad84,
MilitaryGreen, Vallejo-Model, #3e5848,
Buff, Vallejo-Model, #d2ca9f,
